名稱,電話,地址,網址,mail,LINE,備註,lat,lng,status
全國集團生命禮儀,0800-622-666,桃園市中壢區吉林二路55號,https://www.beartoto.com.tw/Lifeetiquette-a8642d0c-342c-c98e-efbc-52865a63277b.html,nationwidegroupcoltd@gmail.com,@727qubgf,,24.98269,121.24841,OK
全國集團生命禮儀,0800-622-666,桃園市平鎮區南平路二段206號,https://www.beartoto.com.tw/Lifeetiquette-a8642d0c-342c-c98e-efbc-52865a63277b.html,nationwidegroupcoltd@gmail.com,@727qubgf,,24.92054,121.20568,OK
全國集團生命禮儀,0800-622-666,新竹市東區中華路一段255號,https://www.beartoto.com.tw/Lifeetiquette-a8642d0c-342c-c98e-efbc-52865a63277b.html,nationwidegroupcoltd@gmail.com,@727qubgf,,24.8125,120.98955,OK
全國集團生命禮儀,0800-622-666,新竹縣竹北市中正西路603號,https://www.beartoto.com.tw/Lifeetiquette-a8642d0c-342c-c98e-efbc-52865a63277b.html,nationwidegroupcoltd@gmail.com,@727qubgf,,24.84193,120.98885,OK
邱媽媽生命美學,0933-133252,基隆/新北/台北/新竹/桃園,https://www.chiumafuneral.com/pet_burial.php,nationwidegroupcoltd@gmail.com,@727qubgf,,24.94501,121.29758,OK
信安寵物安樂,0965-329-729,台灣全區,https://petpeaceinhome.tw/,nationwidegroupcoltd@gmail.com,@petpeaceinhome,,24.99841,121.58103,OK
寵返星球生命禮儀,02-7746-7949,台北/新北/基隆/桃園/高雄/屏東,https://maotravel.tw/,nationwidegroupcoltd@gmail.com,@petpeaceinhome,,24.95971,121.50372,OK
愛の寵物天堂,0915-378-668,新竹市五福路二段1450號,https://www.love-pet.com.tw/,service.love-pet@hotmail.com,loveheaven5181,,24.75481,120.95731,OK
​芯寶寵物樂園,0902-189-881,新竹縣寶山鄉三峰路2段329巷56號,https://www.sinbao.com.tw/,sinbao99@gmail.com,@sinbao,,24.75735,120.99688,OK
康寧寵物安樂園,0935-566-896,新北市深坑區北深路3段93巷51號,https://www.kanning.com.tw/,sinbao99@gmail.com,@sinbao,,25.00048,121.60424,OK
萬里福田寵物城堡,0800-068-888,台北市中山區中山北路三段31號3樓,https://www.petscastle.com.tw/,petsdog0501@gmail.com,@sinbao,,25.06571,121.52253,OK
萬里福田寵物城堡,0800-068-888,桃園市新屋區民族路六段481巷78號,https://www.petscastle.com.tw/,petsdog0501@gmail.com,@sinbao,,24.95926,121.16461,OK
萬里福田寵物城堡,0800-068-888,新北市萬里區雙興里大坪1-1號,https://www.petscastle.com.tw/,petsdog0501@gmail.com,@sinbao,,25.16618,121.64006,OK
懷恩寵物安樂園,02-2609-3133,新北市林口區大水湳路69號,https://petparadise.com.tw/,petsdog0501@gmail.com,@sinbao,,25.10568,121.31714,OK
​茸茸花園,02-7751-6083,台北市中山區林森北路96-7號,https://fluffy.tw/,memoriesfluffy@gmail.com,@149sjytp,,25.04991,121.52462,OK
殷艾寵物森林,0910-912-991,台北市大安區辛亥路三段284巷7號,https://www.in-lovepet.com/,inlovePetfuneral@gamil.com,@149sjytp,,25.0145,121.552,OK
淺水灣寵物天堂,02-2636-9293,新北市三芝區錫板里南勢崗2之7號,http://www.petstw.tw/,inlovePetfuneral@gamil.com,@149sjytp,,25.26109,121.48427,OK
汝果寵物生命會館​ ,02-2895-1334,新北市汐止區康寧街169巷23號5樓之3,https://www.ifspirit.com/,if1090929@gmail.com,@if28951334,,25.06821,121.62271,OK
璿智生命禮儀,0917-355-386,新北市新莊區復興路二段60巷17號3樓,http://www.ben771208.com/,benlove1208@yahoo.com.tw,benlove1208,,25.04366,121.45556,OK
璿智生命禮儀,0917-355-386,基隆/台北/桃園/新竹/苗栗/宜蘭,http://www.ben771208.com/,benlove1208@yahoo.com.tw,benlove1208,,24.95351,121.21881,OK
新天地寵物禮儀,02-8626-1114,新北市淡水區南勢埔46號之1,https://www.new-world.tw/,benlove1208@yahoo.com.tw,benlove1208,,25.17612,121.47623,OK
新天地寵物禮儀,0983-325-999,桃園/台北/新北市/基隆,https://www.new-world.tw/,benlove1208@yahoo.com.tw,benlove1208,,24.94501,121.29758,OK
